Kurzname,Name,M_ID,Kürzel,Gemeinden,Kreise
Beschäftigte in unternehmensbezogenen Dienstleistungen,Anteil der SV Beschäftigten am Arbeitsort in wissensintensiven unternehmensbezogenen Dienstleistungsbranchen an den SV Beschäftigten in %,3406,a_svb_unternehmensdienstlstg,,2009-2023
Beschäftigte in Kreativbranchen,Anteil der SV Beschäftigten am Arbeitsort in Kreativbranchen an den SV Beschäftigten in %,3407,a_svb_kreativ,,2008-2023
Beschäftigte in wissensintensiven Industrien,Anteil der SV Beschäftigten am Arbeitsort in wissens- u. forschungsintensiven Industrien an den SV Beschäftigten in %,3408,a_svb_wissen,,2009-2023
Beschäftigte in IT- und naturwissenschaftlichen Dienstleistungsberufen,Anteil der sozialversicherungspfichtig Beschäftigten in IT- und naturwissenschaftlichen Dienstleistungsberufen an den SV Beschäftigten in %,3409,a_svb_IT,,2013-2023
Beschäftigte im Handwerk,Anteil der SV Beschäftigte am Arbeitsort in Handwerksbetrieben an den SV Beschäftigten in %,3410,a_svb_Handwerk,,2010-2022
Erwerbstätige Primärer Sektor,Anteil der Erwerbstätigen im Primären Sektor an den Erwerbstätigen in %,3411,a_ewt_primär,,2000-2022
Erwerbstätige Sekundärer Sektor,Anteil der Erwerbstätigen im Sekundären Sektor an den Erwerbstätigen in %,3412,a_ewt_sekundär,,2000-2022
Erwerbstätige Tertiärer Sektor,Anteil der Erwerbstätigen im Tertiären Sektor an den Erwerbstätigen in %,3413,a_ewt_tertiär,,2000-2022
Anteil Erwerbstätige Verarbeitendes Gewerbe an Industrie,Anteil der Erwerbstätigen im Verarbeitenden Gewerbe an den Erwerbstätigen im Sekundären Sektor in %,3414,a_WZC_Industrie,,2000-2022
Anteil Erwerbstätige Finanz- und Unternehmensdienstleistungen,"Anteil der Erwerbstätigen in Finanz-, Versicherungs- und Unternehmensdienstleistungen sowie im Grundstücks- und Wohnungswesen an den Erwerbstätigen im Tertiären Sektor in %",3415,a_WZKN_Dienstleistung,,2000-2022
Bevölkerungsentwicklung (10 Jahre),Entwicklung der Zahl der Einwohner über die letzten 10 Jahre in %,4217,e10_bev,,2005-2023
Bevölkerungsentwicklung (5 Jahre),Entwicklung der Zahl der Einwohner über die letzten 5 Jahre in %,4218,e5_bev,,2000-2023
Prognostizierte Bevölkerungsentwicklung (2022-2030),Prognostizierte Bevölkerungsentwicklung 2022 bis 2030 in Prozent (Basis ROP 2045),4219,e_bev2230_rop45,,2022
Prognostizierte Bevölkerungsentwicklung (2022-2035),Prognostizierte Bevölkerungsentwicklung 2022 bis 2035 in Prozent (Basis ROP 2045),4220,e_bev2235_rop45,,2022
Prognostizierte Bevölkerungsentwicklung (2022-2040),Prognostizierte Bevölkerungsentwicklung 2022 bis 2040 in Prozent (Basis ROP 2045),4221,e_bev2240_rop45,,2022
Prognostizierte Bevölkerungsentwicklung (2022-2045),Prognostizierte Bevölkerungsentwicklung 2022 bis 2045 in Prozent (Basis ROP 2045),4222,e_bev2245_rop45,,2022
Gesamtwanderungssaldo,Gesamtwanderungssaldo je 1.000 Einwohner,4301,i_wans,1995-2023,1995-2023
Außenwanderungssaldo,Außenwanderungssaldo je 1.000 Einwohner,4302,i_wans_a,,1995-2023
Außenwanderungssaldo Frauen,Außenwanderungssaldo Frauen je 1.000 weibliche Einwohner,4303,i_wans_a_f,,2003-2023
Außenwanderungssaldo Männer,Außenwanderungssaldo Männer je 1.000 männliche Einwohner,4304,i_wans_a_m,,2003-2023
Binnenwanderungssaldo,Binnenwanderungssaldo insgesamt je 1.000 Einwohner,4305,i_wans_b,,1995-2023
Binnenwanderungssaldo Frauen,Binnenwanderungssaldo Frauen insgesamt je 1.000 weibliche Einwohner,4306,i_wans_b_f,,2003-2023
Binnenwanderungssaldo Männer,Binnenwanderungssaldo Männer insgesamt je 1.000 männliche Einwohner,4307,i_wans_b_m,,2003-2023
Bildungswanderer,Binnenwanderungssaldo der Einwohner von 18 bis unter 25 Jahren je 1.000 Einwohner der Altersgruppe,4308,i_wans_b_1825,,1995-2023
Weibliche Bildungswanderer,Binnenwanderungssaldo der weiblichen Einwohner von 18 bis unter 25 Jahren je 1.000 weibliche Einwohner der Altersgruppe,4309,i_wans_b_1825_f,,2003-2023
Männliche Bildungswanderer,Binnenwanderungssaldo der männlichen Einwohner von 18 bis unter 25 Jahren je 1.000 männliche Einwohner der Altersgruppe,4310,i_wans_b_1825_m,,1995-2023
Berufseinstiegswanderer,Binnenwanderungssaldo der Einwohner von 25 bis unter 30 Jahren je 1.000 Einwohner der Altersgruppe,4311,i_wans_b_2530,,1995-2023
Weibliche Berufseinstiegswanderer,Binnenwanderungssaldo der weiblichen Einwohner von 25 bis unter 30 Jahren je 1.000 weibliche Einwohner der Altersgruppe,4312,i_wans_b_2530_f,,2003-2023
Männliche Berufseinstiegswanderer,Binnenwanderungssaldo der männlichen Einwohner von 25 bis unter 30 Jahren je 1.000 männliche Einwohner der Altersgruppe,4313,i_wans_b_2530_m,,2003-2023
Ruhestandswanderer,Binnenwanderungssaldo der Einwohner 65 Jahre und älter je 1.000 Einwohner der Altersgruppe,4314,i_wans_b_65um,,1995-2023
Familienwanderer,Binnenwanderungssaldo der Einwohner unter 18 Jahre je 1.000 Einwohner der Altersgruppe,4315,i_wans_b_00183050,,1995-2023
Erwerbswanderer,Binnenwanderungssaldo der Einwohner 30 bis unter 50 Jahre je 1.000 Einwohner der Altersgruppe,4316,i_wans_b_3050,,1995-2023
Auszubildende,Auszubildende je 1.000 SV Beschäftige,5105,a_azubi,,1995-2023
Weibliche Auszubildende,Anteil der weiblichen Auszubildende an den Auszubildenden in %,5106,a_azubi_w,,1995-2023
Männliche Auszubildende,Anteil der männlichen Auszubildende an den Auszubildenden in %,5107,a_azubi_m,,1995-2023
Auszubildende je 100 Einwohner 15 bis 25 Jahre,Auszubildende am Wohnort je 100 Einwohner von 15 bis unter 25 Jahren in %,5108,q_azubi_1525,,2010-2023
Studierende,Studierende an wissenschaftlichen Hochschulen und Fachhochschulen je 1.000 Einwohner,5109,q_stud,,1995-2023
Studierende an FH,Studierende an Fachhochschulen je 1.000 Einwohner,5110,q_stud_fh,,2006-2023
Weibliche Studierende,Anteil der Frauen an den Studierenden in %,5111,a_stud_w,,1995-2023
Männliche Studierende,Anteil der Männer an den Studierenden in %,5112,a_stud_m,,1995-2023
Ausländische Studierende,Anteil der Ausländer an den Studierenden in %,5113,a_stud_a,,1998-2023
Studierende im 1. Semester,Studierende im 1. Semester an den Studierenden in %,5114,a_stud_1,,1995-2023
Studierende je 100 Einwohner 18 bis 25 Jahre,Studierende je 100 Einwohner von 18 bis unter 25 Jahren in %,5115,q_stud_1825,,1995-2023
Bruttoverdienst,Monatlicher Bruttoverdienst von Arbeitnehmern in Euro,6001,d_Bruttoverdienst,,2000-2022
Bruttoverdienst im Produzierenden Gewerbe,Monatlicher Bruttoverdienst von Arbeitnehmern im Produzierenden Gewerbe in Euro,6002,d_Bruttoverdienst_Prod,,2000-2022
Medianeinkommen,Medianeinkommen der sozialversicherungspflichtig Vollzeitbeschäftigten in Euro,6003,m_ek,,2014-2023
Medianeinkommen Frauen,Medianeinkommen der weiblichen sozialversicherungspflichtig Vollzeitbeschäftigten in Euro,6004,m_ek_f,,2014-2023
Medianeinkommen Männer,Medianeinkommen der männlichen sozialversicherungspflichtig Vollzeitbeschäftigten in Euro,6005,m_ek_m,,2014-2023
Medianeinkommen 25 bis unter 55-Jährige,Medianeinkommen der sozialversicherungspflichtig Vollzeitbeschäftigten im Alter von 25 bis unter 55 Jahren in Euro,6006,m_ek_2555,,2014-2023
Medianeinkommen 55 bis unter 65-Jährige,Medianeinkommen der sozialversicherungspflichtig Vollzeitbeschäftigten im Alter von 55 bis unter 65 Jahren in Euro,6007,m_ek_5565,,2014-2023
Medianeinkommen anerkannter Berufsabschluss,Medianeinkommen der sozialversicherungspflichtig Vollzeitbeschäftigten mit anerkanntem Berufsabschluss in Euro,6008,m_ek_oakad,,2014-2023
Medianeinkommen akademischer Berufsabschluss,Medianeinkommen der sozialversicherungspflichtig Vollzeitbeschäftigten mit akademischem Berufsabschluss in Euro,6009,m_ek_akad,,2014-2023
Verdienstabstand zwischen Frauen und Männern,Medianeinkommen der vollzeitbeschäftigten Frauen im Verhältnis zu dem Medianeinkommen der vollzeitbeschäftigten Männer,6010,m_ek_fm,,2014-2023
Arbeitsvolumen,Anzahl geleisteter Arbeitsstunden von Arbeitnehmern,6021,d_ArbStd,,2000-2022
Umsatzsteuer,Umsatzsteuer in € je Einwohner,9004,q_umsst,1995-2021,1998-2023
Personal der Kommunen,Personal der Kommunen je 10.000 Einwohner,9008,q_gvvzaq,,2006-2023
Einwohner-Arbeitsplatz-Dichte,Einwohner und Beschäftigte je km²,11005,q_bevsva_qkm,1996-2023,1996-2023
Wohngeldhaushalte,"Anteil der Haushalte, die Wohngeld empfangen je 1.000 Haushalte",12103,a_HHwg,,2013-2023
Wohngeldhaushalte (Mietzuschuss),"Anteil der Haushalte, die Empfänger von Mietzuschuss sind, je Wohngeldempfänger-Haushalte in %",12104,a_WGmietzu,,1995-2023
Leistungen für Wohngeld,Durchschnittliche monatliche Höhe von Leistungen für Wohngeld in € je Empfängerhaushalt,12309,d_Wohngeld_Lstg,,2016-2023
Bandbreitenverfügbarkeit mindestens 50 Mbit/s,Anteil der Haushalte mit einer Bandbreitenverfügbarkeit (leitungsgebunden) mit mindestens 50 Mbit/s in %,13116,a_bb_50Mbits,2017-2023,2017-2023
Bandbreitenverfügbarkeit mindestens 100 Mbit/s,Anteil der Haushalte mit einer Bandbreitenverfügbarkeit (leitungsgebunden) mit mindestens 100 Mbit/s in %,13117,a_bb_100Mbits,2017-2023,2017-2023
Bandbreitenverfügbarkeit mindestens 1.000 Mbit/s,Anteil der Haushalte mit einer Bandbreitenverfügbarkeit (leitungsgebunden) mit mindestens 1.000 Mbit/s in %,13118,a_bb_1000Mbits,2020-2023,2020-2023
Einpendler,Anteil der Einpendler an den SV Beschäftigten am Arbeitsort in %,13301,a_einp_sva,1997-2023,1997-2023
Auspendler,Anteil der Auspendler an den SV Beschäftigten am Wohnort in %,13302,a_ausp_svw,1997-2023,1997-2023
Pendlersaldo,Pendlersaldo je 100 SV Beschäftigte am Arbeitsort,13303,q_pendlersaldo,1997-2023,1997-2023
Pendler mit Arbeitsweg 50 km und mehr,Anteil der SV Beschäftigten mit einem Arbeitsweg von 50 km und mehr am Wohnort in %,13304,a_pend50,2013-2023,2013-2023
Pendler mit Arbeitsweg 150 km und mehr,Anteil der SV Beschäftigten mit einem Arbeitsweg von 150 km und mehr am Wohnort in %,13305,a_pend150,2013-2023,2013-2023
Pendler mit Arbeitsweg 300 km und mehr,Anteil der SV Beschäftigten mit einem Arbeitsweg von 300 km und mehr am Wohnort in %,13306,a_pend300,2013-2023,2013-2023
Kleinstbetriebe,Anteil der Niederlassungen mit bis unter 10 SV-Beschäftigten an den Niederlassungen insgesamt in %,14201,a_betr_kleinst,,2006-2023
Kleinbetriebe,Anteil der Niederlassungen mit 10 bis unter 50 SV-Beschäftigten an den Niederlassungen insgesamt in %,14202,a_betr_klein,,2006-2023
